시도,기준연도,화재건수,사망자수,부상자수,재산피해_천원
경상북도,2024,2932,26,188,84320274
서울특별시,2024,5654,23,305,21583897
경기도,2024,7931,88,482,366405367
충청남도,2024,1911,19,75,36026924
부산광역시,2024,2281,19,86,5911331
강원특별자치도,2024,1900,12,122,26481347
세종특별자치시,2024,211,3,16,4202057
울산광역시,2024,708,4,40,8375470
경상남도,2024,3485,22,171,33876964
전라남도,2024,2554,15,76,27074924
인천광역시,2024,1318,12,133,72818487
전북특별자치도,2024,2075,16,70,26913062
대구광역시,2024,1205,11,95,9959196
제주특별자치도,2024,600,5,28,9117435
충청북도,2024,1340,16,115,37544079
광주광역시,2024,688,9,42,6111077
대전광역시,2024,821,8,50,7225539
대전광역시 대덕구,2024,108,0,9,1042426
대전광역시 서구,2024,236,5,7,653415
대전광역시 유성구,2024,219,0,6,4722368
대전광역시 동구,2024,129,0,7,431395
대전광역시 중구,2024,129,3,21,375935
