노선명,기준연도,포트홀발생건수,배상건수,배상금액_백만원
경부선,2020,454,86,149
경부선,2021,380,105,128
경부선,2022,407,178,372
경부선,2023,349,279,542
경부선,2024,508,457,662
경인선,2020,5,4,5
경인선,2021,15,7,20
경인선,2022,12,3,7
경인선,2023,25,1,1
경인선,2024,6,3,1
고창담양선,2020,68,0,0
고창담양선,2021,51,2,3
고창담양선,2022,5,0,0
고창담양선,2023,11,6,7
고창담양선,2024,14,7,3
광주대구선,2020,73,7,6
광주대구선,2021,54,6,5
광주대구선,2022,65,12,20
광주대구선,2023,92,7,15
광주대구선,2024,66,9,5
광주외곽순환선,2024,1,0,0
남해1지선,2020,8,0,0
남해1지선,2021,4,2,5
남해1지선,2022,8,0,0
남해1지선,2023,18,4,3
남해1지선,2024,13,1,0
남해2지선,2020,13,3,1
남해2지선,2021,13,3,3
남해2지선,2022,3,3,2
남해2지선,2023,16,2,3
남해2지선,2024,18,4,2
남해선,2020,260,12,14
남해선,2021,227,16,17
남해선,2022,118,15,15
남해선,2023,335,65,92
남해선,2024,100,36,65
대구외곽순환선,2023,4,0,0
대전남부순환선,2020,8,2,6
대전남부순환선,2021,6,0,0
대전남부순환선,2022,5,0,0
대전남부순환선,2023,17,4,4
대전남부순환선,2024,12,5,5
동해선,2020,169,1,1
동해선,2021,165,4,2
동해선,2022,95,4,2
동해선,2023,111,1,1
동해선,2024,85,8,8
부산외곽선,2020,6,0,0
부산외곽선,2021,30,0,0
부산외곽선,2022,19,0,0
부산외곽선,2023,14,1,1
부산외곽선,2024,7,2,3
서산영덕선,2020,88,8,19
서산영덕선,2021,142,28,47
서산영덕선,2022,102,28,32
서산영덕선,2023,128,24,31
서산영덕선,2024,121,42,37
서울양양선,2020,28,3,2
서울양양선,2021,63,7,6
서울양양선,2022,116,12,18
서울양양선,2023,205,14,11
서울양양선,2024,122,37,32
서천공주선,2020,25,0,0
서천공주선,2021,28,1,0
서천공주선,2022,25,3,8
서천공주선,2023,23,6,3
서천공주선,2024,116,0,0
서해안선,2020,606,71,116
서해안선,2021,448,143,313
서해안선,2022,399,175,358
서해안선,2023,434,243,469
서해안선,2024,590,355,432
새만금포항선,2020,134,2,2
새만금포항선,2021,119,5,7
새만금포항선,2022,122,21,22
새만금포항선,2023,241,32,81
새만금포항선,2024,102,37,35
수도권제1순환선,2020,196,195,399
수도권제1순환선,2021,416,208,254
수도권제1순환선,2022,312,151,265
수도권제1순환선,2023,279,229,362
수도권제1순환선,2024,339,578,655
순천완주선,2020,29,1,1
순천완주선,2021,18,0,0
순천완주선,2022,7,2,17
순천완주선,2023,78,1,1
순천완주선,2024,76,2,1
영동선,2020,130,56,158
영동선,2021,209,149,352
영동선,2022,495,434,1014
영동선,2023,957,692,1407
영동선,2024,718,1006,1247
울산선,2020,14,0,0
울산선,2021,25,5,6
울산선,2022,7,0,0
울산선,2023,14,2,21
울산선,2024,8,1,4
제2경인선,2020,52,5,2
제2경인선,2021,57,18,38
제2경인선,2022,58,29,52
제2경인선,2023,64,35,40
제2경인선,2024,56,43,46
제2중부선,2020,74,4,7
제2중부선,2021,77,4,7
제2중부선,2022,82,12,29
제2중부선,2023,52,14,22
제2중부선,2024,45,25,39
중부내륙선,2020,376,77,97
중부내륙선,2021,301,42,101
중부내륙선,2022,312,85,164
중부내륙선,2023,551,181,250
중부내륙선,2024,477,117,213
중부내륙지선,2020,45,5,9
중부내륙지선,2021,52,26,41
중부내륙지선,2022,44,14,24
중부내륙지선,2023,44,17,42
중부내륙지선,2024,30,13,19
중부선,2020,411,130,205
중부선,2021,311,239,323
중부선,2022,620,389,749
중부선,2023,451,414,627
중부선,2024,357,225,243
중앙선,2020,405,89,180
중앙선,2021,661,127,164
중앙선,2022,830,108,225
중앙선,2023,950,182,191
중앙선,2024,631,154,122
중앙지선,2020,8,5,2
중앙지선,2021,14,2,0
중앙지선,2022,6,0,0
중앙지선,2023,18,0,0
중앙지선,2024,16,2,1
평택제천선,2020,114,6,8
평택제천선,2021,53,12,15
평택제천선,2022,85,30,48
평택제천선,2023,125,79,116
평택제천선,2024,219,160,184
호남선,2020,563,21,27
호남선,2021,308,53,82
호남선,2022,91,21,34
호남선,2023,132,34,61
호남선,2024,108,27,76
호남지선,2020,78,1,2
호남지선,2021,38,4,1
호남지선,2022,59,4,9
호남지선,2023,63,11,34
호남지선,2024,31,19,13
세종포천선,2020,0,1,0
