시도,기준연도,인구수,남자,여자,고령인구
서울특별시,2026,9295082,4475263,4819819,1942025
부산광역시,2026,3234293,1571268,1663025,837676
대구광역시,2026,2349305,1150137,1199168,533791
인천광역시,2026,3058623,1527097,1531526,594990
광주광역시,2026,1386379,683811,702568,267010
대전광역시,2026,1442213,718270,723943,283864
울산광역시,2026,1087466,560750,526716,210451
세종특별자치시,2026,391064,194820,196244,49620
경기도,2026,13755126,6905139,6849987,2516807
충청북도,2026,1600216,815981,784235,380444
충청남도,2026,2138517,1098485,1040032,515078
전라남도,2026,1774082,896678,877404,515269
경상북도,2026,2496706,1264457,1232249,704655
경상남도,2026,3196632,1612493,1584139,766937
제주특별자치도,2026,662969,331228,331741,136238
강원특별자치도,2026,1507237,758235,749002,415239
전북특별자치도,2026,1719420,857074,862346,468435
대전광역시 동구,2026,218505,109987,108518,54002
대전광역시 중구,2026,224581,109724,114857,56360
대전광역시 서구,2026,463601,227038,236563,83547
대전광역시 유성구,2026,371147,188121,183026,51204
대전광역시 대덕구,2026,164379,83400,80979,38751
